zpid,imgSrc,detailUrl,price,beds,baths,area,latLong.latitude,latLong.longitude,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.streetAddress,hdpData.homeInfo.city,hdpData.homeInfo.zipcode,price_vs_avg,availabilityDate
461292389,https://photos.zillowstatic.com/fp/446af4df92da73bb38f71132a670eec7-p_e.jpg,/homedetails/803-Centre-St-101-Jamaica-Plain-MA-02130/461292389_zpid/,3100.0,2.0,1.0,700.0,42.309277,-71.1169,42.309277,-71.1169,803 Centre St #101,Jamaica Plain,02130,-2.3,2026-09-01
2105913728,https://photos.zillowstatic.com/fp/ce1ae5b43434906b9013aebd29a0444c-p_e.jpg,/homedetails/10-Oakview-Ter-3-Jamaica-Plain-MA-02130/2105913728_zpid/,3350.0,2.0,1.0,,42.32005,-71.11047,42.32005,-71.11047,10 Oakview Ter #3,Jamaica Plain,02130,5.6,2026-09-01
2114896385,https://photos.zillowstatic.com/fp/2508c2976f742381e7de4bbd3b250db5-p_e.jpg,/homedetails/38-S-Huntington-Ave-1-Boston-MA-02130/2114896385_zpid/,3400.0,2.0,1.0,750.0,42.330982,-71.11141,42.330982,-71.11141,38 S Huntington Ave #1,Boston,02130,7.2,2026-09-01
59131843,https://photos.zillowstatic.com/fp/799092bd581e09e4b9169975a5052a78-p_e.jpg,/homedetails/70-Jamaicaway-APT-9-Boston-MA-02130/59131843_zpid/,3200.0,2.0,1.0,714.0,42.330074,-71.11192,42.330074,-71.11192,70 Jamaicaway APT 9,Boston,02130,0.9,2026-09-01
59131028,https://photos.zillowstatic.com/fp/b2bd4a853d9615b49a9d72d6dfb140e9-p_e.jpg,/homedetails/32-Robinwood-Ave-APT-5-Jamaica-Plain-MA-02130/59131028_zpid/,3400.0,2.0,1.0,,42.31643,-71.11186,42.31643,-71.11186,32 Robinwood Ave APT 5,Jamaica Plain,02130,7.2,2026-09-01
118061226,https://photos.zillowstatic.com/fp/eece085929aaafeb5d7921d6ca3ad46b-p_e.jpg,/homedetails/108-Perkins-St-APT-4-Boston-MA-02130/118061226_zpid/,3000.0,2.0,1.0,661.0,42.32098,-71.11522,42.32098,-71.11522,108 Perkins St APT 4,Boston,02130,-5.4,2026-09-01
2128242759,https://photos.zillowstatic.com/fp/008bba98147f6e1b1d09a62ef824c20f-p_e.jpg,/homedetails/61-S-Huntington-Ave-APT-103-Boston-MA-02130/2128242759_zpid/,3450.0,2.0,1.0,,42.330517,-71.11178,42.330517,-71.11178,61 S Huntington Ave APT 103,Boston,02130,8.7,2026-09-01
2057609392,https://photos.zillowstatic.com/fp/2c85469597e6fa833401353ae4c785c4-p_e.jpg,/homedetails/165-South-St-APT-2R-Jamaica-Plain-MA-02130/2057609392_zpid/,2650.0,2.0,1.0,,42.304024,-71.11514,42.304024,-71.11514,165 South St APT 2R,Jamaica Plain,02130,-16.5,2026-09-01
460851296,https://photos.zillowstatic.com/fp/96a88492cf24e1fdd7111c04491805da-p_e.jpg,/homedetails/803-Centre-St-1-Jamaica-Plain-MA-02130/460851296_zpid/,2900.0,2.0,1.0,795.0,42.309277,-71.1169,42.309277,-71.1169,803 Centre St #1,Jamaica Plain,02130,-8.6,2026-09-01
2061893291,https://photos.zillowstatic.com/fp/995df64ae063b75cd4adf5afabf3615e-p_e.jpg,/homedetails/50-Stedman-St-304-Jamaica-Plain-MA-02130/2061893291_zpid/,3300.0,2.0,2.0,1010.0,42.30343,-71.1079,42.30343,-71.1079,50 Stedman St #304,Jamaica Plain,02130,4.0,2026-09-01
2064284886,https://photos.zillowstatic.com/fp/7a144bec8b494f41227bf301d095443e-p_e.jpg,/homedetails/8-Westerly-St-1-Jamaica-Plain-MA-02130/2064284886_zpid/,3250.0,2.0,1.0,,42.32324,-71.10692,42.32324,-71.10692,8 Westerly St #1,Jamaica Plain,02130,2.4,2026-09-01
2101345004,https://photos.zillowstatic.com/fp/7637e93282823b02904aa31f3a373145-p_e.jpg,/homedetails/46-Haverford-St-1-Boston-MA-02130/2101345004_zpid/,3050.0,2.0,1.0,715.0,42.313416,-71.10189,42.313416,-71.10189,46 Haverford St #1,Boston,02130,-3.9,2026-09-01
59168454,https://photos.zillowstatic.com/fp/07292cda5996bf9c20af05686c25fa10-p_e.jpg,/homedetails/238-S-Huntington-Ave-APT-2-Jamaica-Plain-MA-02130/59168454_zpid/,3195.0,2.0,1.0,800.0,42.324818,-71.11186,42.324818,-71.11186,238 S Huntington Ave APT 2,Jamaica Plain,02130,0.7,2026-09-01
